passengerTraffic,type,stationName,stationShortCode,stationUICCode,countryCode,longitude,latitude
false,TURNOUT_IN_THE_OPEN_LINE,Inha,IN,264,FI,24.14619115619179,62.55169706341911
true,STATION,Inkeroinen,IKR,530,FI,26.84018370080148,60.69701604632928
true,STATION,Inkoo,IKO,62,FI,23.93583299884374,60.06150188518101
true,STATION,Isokyrö,IKY,295,FI,22.39416022094283,62.9522296726105
false,STATION,Jalasjärvi,JAL,276,FI,22.95387505019253,62.47355670432422
false,STATION,Jepua,JPA,303,FI,22.65474744774662,63.40972426846452
true,STATION,Joensuu asema,JNS,460,FI,29.77963440728452,62.60047281314301
false,STATION,Joensuu Peltola,PLT,1070,FI,29.77433048358171,62.59438956472729
false,STATION,Joensuu Sulkulahti,SUL,1071,FI,29.77797090639793,62.58663780661349
true,STATION,Jokela,JK,28,FI,24.97099545231932,60.55302681210605
false,TURNOUT_IN_THE_OPEN_LINE,Joroinen,JOR,431,FI,27.81039475605781,62.17558778915453
true,STOPPING_POINT,Jorvas,JRS,578,FI,24.51302674858426,60.13790771536286
true,STATION,Joutseno,JTS,499,FI,28.49016307128143,61.12065627497296
false,STATION,Juankoski,JKI,414,FI,28.32006489175433,63.06433084678584
false,STATION,Jutila,JUT,1085,FI,25.12415858857381,60.83742510797484
true,STOPPING_POINT,Juupajoki,JJ,627,FI,24.36525271438556,61.79747493174501
false,STATION,Juurikorpi,JRI,535,FI,26.9392773442279,60.60439580505677
true,STATION,Jyväskylä,JY,240,FI,25.75235847120801,62.24072261918303
true,STATION,Jämsä,JÄS,204,FI,25.17384101564176,61.86633502042542
false,STATION,Jämsänkoski,JSK,205,FI,25.17179394382047,61.89684634175717
true,STATION,Järvelä,JR,95,FI,25.27523233784601,60.86762887646247
true,STATION,Järvenpää asema,JP,25,FI,25.09133535334629,60.47379087798299
false,STATION,Kaipiainen,KPA,485,FI,27.11904888060521,60.90043236020716
false,STATION,Kaipola,KLA,656,FI,25.21528854605504,61.81736776276298
false,TURNOUT_IN_THE_OPEN_LINE,Kairokoski,KKO,230,FI,23.02155058186636,62.02791167266118
false,STATION,Kaitjärvi,KJR,944,FI,27.34773428210156,60.91106100661052
true,STATION,Kajaani,KAJ,387,FI,27.74037535201143,64.22134818565351
false,TURNOUT_IN_THE_OPEN_LINE,Kaleton,KTN,697,FI,24.79206054663305,62.24054602296814
false,STATION,Kalkku,KAU,639,FI,23.5721962697823,61.49711412022786
false,TURNOUT_IN_THE_OPEN_LINE,Kalliovarasto,KAO,1090,FI,27.91110471746451,64.28280035833569
false,STATION,Kalvitsa,KSA,548,FI,27.28660153609663,61.91129854301929
false,STATION,Kangas,KGS,1092,FI,24.71318082015248,64.1452475279236
true,STATION,Kannelmäki,KAN,658,FI,24.87739793585336,60.23961351888685
false,STATION,Kannonkoski,KSI,256,FI,25.2712592610195,62.98508561335496
true,STATION,Kannus,KNS,317,FI,23.9154166323965,63.89996199297379
false,STATION,Karhejärvi,KRR,1095,FI,23.39008203418306,61.75073773124134
false,STATION,Karhukangas,KHG,1097,FI,24.41955968385706,64.01721603616201
true,STATION,Karjaa,KR,60,FI,23.66134230649959,60.06879796731013
true,STATION,Karkku,KRU,178,FI,23.04877799267037,61.44386093879866
false,STATION,Karviainen,KAR,1100,FI,22.55835578821354,60.62359795420021
false,STATION,Kaskinen,KSK,267,FI,21.22882601423909,62.38197641588358
false,STATION,Kattilaharju,KTH,1319,FI,26.960968173061,60.88042236735897
false,STATION,Kauhajoki,KJI,272,FI,22.21089761272175,62.46088306172434
true,STATION,Kauhava,KHA,299,FI,23.03493667643516,63.1008552812896
true,STATION,Kauklahti asema,KLH,65,FI,24.60062224024251,60.18948776635573
false,STATION,Kaulinranta,KLR,790,FI,23.71263246959641,66.46942384609078
true,STATION,Kauniainen,KNI,67,FI,24.73120572048259,60.21198020687413
false,STATION,Kauppilanmäki,KPL,423,FI,27.22941672651078,63.71100812797515
true,STOPPING_POINT,Kausala,KA,477,FI,26.33057662511227,60.88562227428591
false,STATION,Keitelepohja,KTP,257,FI,25.54874296554351,63.19400137780445
false,STATION,Kekomäki,KEK,1101,FI,24.91241733896265,60.75078525262875
true,STATION,Kemi,KEM,347,FI,24.57476523121654,65.73897044660536
true,STATION,Kemijärvi,KJÄ,367,FI,27.4037147948074,66.72427316439904
false,STATION,Kempele,KML,769,FI,25.51536969941943,64.91483255737397
true,STOPPING_POINT,Kera,KEA,621,FI,24.75597983344263,60.21661454706508
true,STATION,Kerava asema,KE,20,FI,25.10650923336211,60.40445695324774
true,STATION,Kerimäki,KIÄ,522,FI,29.11630332487318,61.86205939170382
true,STATION,Kesälahti,KTI,966,FI,29.80539917459317,61.88811556310208
true,STATION,Keuruu,KEU,235,FI,24.70768314163287,62.25617730257416
true,STOPPING_POINT,Kiiala,KIA,1113,FI,25.61388941766215,60.40683412066142
true,STOPPING_POINT,Kilo,KIL,580,FI,24.78275092806289,60.2179810462962
false,STATION,Kilpua,KUA,1115,FI,24.96207077708021,64.34827990034559
false,TURNOUT_IN_THE_OPEN_LINE,Kinahmi,KNH,873,FI,27.95324277486605,63.14392810143679
false,STATION,Kinni,KII,1120,FI,26.84795585686993,61.30678755283122
false,TURNOUT_IN_THE_OPEN_LINE,Kirjola,KIJ,1123,FI,29.44384142790833,61.52945920699682
true,STATION,Kirkkonummi,KKN,63,FI,24.43921008018712,60.11964712190518
false,STATION,Kirkniemi,KRN,79,FI,23.96357557842675,60.17589817699424
true,STATION,Kitee,KIT,453,FI,30.05176705131929,62.14361201480745
false,STATION,Kiukainen,KN,169,FI,22.08847560827543,61.21011403109094
true,STATION,Kiuruvesi,KRV,417,FI,26.61260659303929,63.64231983081709
false,STATION,Kivesjärvi,KVJ,378,FI,27.4731786199946,64.47059186627925
true,STOPPING_POINT,Kivistö,KTÖ,1330,FI,24.86410617265545,60.31137344814794
true,STOPPING_POINT,Kohtavaara,KOH,848,FI,29.28673891969713,63.5164502661065
false,STATION,Koivu,KVU,362,FI,25.20753268822224,66.1722413406524
true,STOPPING_POINT,Koivuhovi,KVH,675,FI,24.70159450182923,60.20718552839824
true,STOPPING_POINT,Koivukylä,KVY,559,FI,25.06048421779855,60.32360859981147
true,STATION,Kokemäki,KKI,170,FI,22.3026816020037,61.25467096622639
true,STATION,Kokkola,KOK,312,FI,23.13109615185144,63.83442907250924
true,STATION,Kolari,KLI,358,FI,23.83628817269093,67.35161591212001
true,STOPPING_POINT,Kolho,KLO,199,FI,24.50772211471851,62.1288625605166
false,STATION,Kolppi,KPI,309,FI,22.89789040539286,63.62898658540891
false,STATION,Kommila,KMM,500,FI,27.89274114066142,62.32463645652498
false,TURNOUT_IN_THE_OPEN_LINE,Komu,KOM,758,FI,26.15500057368049,63.66495988082917
false,STATION,Kontiolahti,KHI,463,FI,29.85967950521166,62.73324223115635
true,STATION,Kontiomäki,KON,390,FI,28.11670754773506,64.33989101874006
true,STOPPING_POINT,Koria,KRA,478,FI,26.60336240008018,60.84772840643717
false,STATION,Korkeakoski,KAS,193,FI,24.37567120382678,61.80837213959116
